  380,  3.9000e-005
  385,  6.4000e-005
  390,  1.2000e-004
  395,  2.1700e-004
  400,  3.9600e-004
  405,  6.4000e-004
  410,  1.2100e-003
  415,  2.1800e-003
  420,  4.0000e-003
  425,  7.3000e-003
  430,  1.1600e-002
  435,  1.6840e-002
  440,  2.3000e-002
  445,  2.9800e-002
  450,  3.8000e-002
  455,  4.8000e-002
  460,  6.0000e-002
  465,  7.3900e-002
  470,  9.0980e-002
  475,  1.1260e-001
  480,  1.3902e-001
  485,  1.6930e-001
  490,  2.0802e-001
  495,  2.5860e-001
  500,  3.2300e-001
  505,  4.0730e-001
  510,  5.0300e-001
  515,  6.0820e-001
  520,  7.1000e-001
  525,  7.9320e-001
  530,  8.6200e-001
  535,  9.1485e-001
  540,  9.5400e-001
  545,  9.8030e-001
  550,  9.9495e-001
  555,  1.0000e+000
  560,  9.9500e-001
  565,  9.7860e-001
  570,  9.5200e-001
  575,  9.1540e-001
  580,  8.7000e-001
  585,  8.1630e-001
  590,  7.5700e-001
  595,  6.9490e-001
  600,  6.3100e-001
  605,  5.6680e-001
  610,  5.0300e-001
  615,  4.4120e-001
  620,  3.8100e-001
  625,  3.2100e-001
  630,  2.6500e-001
  635,  2.1700e-001
  640,  1.7500e-001
  645,  1.3820e-001
  650,  1.0700e-001
  655,  8.1600e-002
  660,  6.1000e-002
  665,  4.4580e-002
  670,  3.2000e-002
  675,  2.3200e-002
  680,  1.7000e-002
  685,  1.1920e-002
  690,  8.2100e-003
  695,  5.7230e-003
  700,  4.1020e-003
  705,  2.9290e-003
  710,  2.0910e-003
  715,  1.4840e-003
  720,  1.0470e-003
  725,  7.4000e-004
  730,  5.2000e-004
